,0,clean gender
927,F,F
928,F,F
929,F,F
930,,Unknown
931,Female,F
932,M,M
933,,Unknown
934,F,F
935,F,F
936,M,M
937,,Unknown
938,,Unknown
939,F,F
940,Female,F
941,Female,F
942,F,F
943,F,F
944,M,M
945,,Unknown
946,Male,M
947,F,F
948,M,M
949,Female,F
950,Female,F
951,,Unknown
952,F,F
953,M,M
954,,Unknown
955,F,F
956,,Unknown
957,,Unknown
958,F,F
959,F,F
960,Female,F
961,Male,M
962,,Unknown
963,M,M
964,F,F
965,F,F
966,,Unknown
967,M,M
968,,Unknown
969,M,M
970,F,F
971,M,M
972,Male,M
973,,Unknown
974,F,F
975,F,F
976,F,F
977,Female,F
978,F,F
979,M,M
980,,Unknown
981,F,F
982,M,M
983,M,M
984,Female,F
985,F,F
986,M,M
987,M,M
988,F,F
989,,Unknown
990,Male,M
991,Female,F
992,F,F
993,Female,F
994,F,F
995,,Unknown
996,F,F
997,Male,M
998,Female,F
999,,Unknown
1000,F,F
1001,,Unknown
1002,F,F
1003,Female,F
1004,M,M
1005,Male,M
1006,M,M
1007,F,F
1008,,Unknown
1009,,Unknown
1010,M,M
1011,F,F
1012,Female,F
1013,F,F
1014,,Unknown
1015,,Unknown
1016,Male,M
1017,Female,F
1018,M,M
1019,Male,M
1020,M,M
1021,Male,M
1022,F,F
1023,F,F
1024,Male,M
1025,,Unknown
1026,,Unknown
1027,F,F
1028,F,F
1029,F,F
1030,F,F
1031,F,F
1032,M,M
1033,M,M
1034,M,M
1035,Female,F
1036,Female,F
1037,F,F
1038,Female,F
1039,,Unknown
1040,,Unknown
1041,F,F
1042,F,F
1043,M,M
1044,F,F
1045,M,M
1046,F,F
1047,F,F
1048,,Unknown
1049,,Unknown
1050,Female,F
1051,F,F
1052,,Unknown
1053,F,F
1054,Female,F
1055,Female,F
1056,,Unknown
1057,F,F
1058,F,F
1059,F,F
1060,F,F
1061,,Unknown
1062,M,M
1063,F,F
1064,,Unknown
1065,Female,F
1066,F,F
1067,M,M
1068,F,F
1069,Female,F
1070,F,F
1071,M,M
1072,M,M
1073,,Unknown
1074,Female,F
1075,F,F
1076,F,F
1077,Female,F
1078,Male,M
1079,Male,M
1080,M,M
1081,F,F
1082,Female,F
1083,,Unknown
1084,F,F
1085,F,F
1086,F,F
1087,Male,M
1088,M,M
1089,F,F
1090,F,F
1091,Female,F
1092,,Unknown
1093,F,F
1094,M,M
1095,M,M
1096,F,F
1097,F,F
1098,M,M
1099,M,M
1100,,Unknown
1101,F,F
1102,M,M
1103,F,F
1104,F,F
1105,F,F
1106,Female,F
1107,Male,M
1108,M,M
1109,Female,F
1110,M,M
1111,Female,F
1112,M,M
1113,Female,F
1114,Female,F
1115,Female,F
1116,M,M
1117,F,F
1118,Male,M
1119,,Unknown
1120,Female,F
1121,,Unknown
1122,,Unknown
1123,M,M
1124,Male,M
1125,M,M
1126,,Unknown
1127,Male,M
1128,,Unknown
1129,Male,M
1130,F,F
1131,Male,M
1132,F,F
1133,,Unknown
1134,Male,M
1135,Female,F
1136,M,M
1137,,Unknown
1138,F,F
1139,F,F
1140,Female,F
1141,,Unknown
1142,F,F
1143,Female,F
1144,Female,F
1145,,Unknown
1146,,Unknown
1147,Female,F
1148,F,F
1149,M,M
1150,Male,M
1151,M,M
1152,Female,F
1153,Female,F
1154,Female,F
1155,,Unknown
1156,M,M
1157,,Unknown
1158,F,F
1159,F,F
1160,Male,M
1161,M,M
1162,F,F
1163,M,M
1164,F,F
1165,M,M
1166,,Unknown
1167,,Unknown
1168,,Unknown
1169,Female,F
1170,,Unknown
1171,Female,F
1172,Female,F
1173,F,F
